location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2178,25227,Del Norte-2178,2022-05-03T08:00:00-06:00,35.1353,-106.584702,co,ppm,0.34
2178,25227,Del Norte-2178,2022-05-03T09:00:00-06:00,35.1353,-106.584702,co,ppm,0.15
2178,25227,Del Norte-2178,2022-05-03T10:00:00-06:00,35.1353,-106.584702,co,ppm,0.14
2178,25227,Del Norte-2178,2022-05-03T11:00:00-06:00,35.1353,-106.584702,co,ppm,0.11
2178,25227,Del Norte-2178,2022-05-03T12:00:00-06:00,35.1353,-106.584702,co,ppm,0.12
2178,25227,Del Norte-2178,2022-05-03T13:00:00-06:00,35.1353,-106.584702,co,ppm,0.14
2178,25227,Del Norte-2178,2022-05-03T14:00:00-06:00,35.1353,-106.584702,co,ppm,0.15
2178,25227,Del Norte-2178,2022-05-03T15:00:00-06:00,35.1353,-106.584702,co,ppm,0.12
2178,25227,Del Norte-2178,2022-05-03T16:00:00-06:00,35.1353,-106.584702,co,ppm,0.16
2178,25227,Del Norte-2178,2022-05-03T17:00:00-06:00,35.1353,-106.584702,co,ppm,0.13
2178,25227,Del Norte-2178,2022-05-03T18:00:00-06:00,35.1353,-106.584702,co,ppm,0.12
2178,25227,Del Norte-2178,2022-05-03T19:00:00-06:00,35.1353,-106.584702,co,ppm,0.14
2178,25227,Del Norte-2178,2022-05-03T20:00:00-06:00,35.1353,-106.584702,co,ppm,0.13
2178,25227,Del Norte-2178,2022-05-03T21:00:00-06:00,35.1353,-106.584702,co,ppm,0.12
2178,25227,Del Norte-2178,2022-05-03T22:00:00-06:00,35.1353,-106.584702,co,ppm,0.15
2178,25227,Del Norte-2178,2022-05-03T23:00:00-06:00,35.1353,-106.584702,co,ppm,0.11
2178,25227,Del Norte-2178,2022-05-04T00:00:00-06:00,35.1353,-106.584702,co,ppm,0.11
2178,3918,Del Norte-2178,2022-05-03T01:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
